Tanggal,Price,Trend_Indicator,price_value_price,price_value_yield
2021-03-04,48368.0,1.0,128.75,3.29
2021-03-05,48811.0,1.0,128.75,3.29
2021-03-06,48895.0,1.0,,
2021-03-07,51031.2,1.0,,
2021-03-08,52395.0,1.0,128.75,3.29
2021-03-09,54949.4,1.0,128.75,3.29
2021-03-10,55955.2,1.0,128.75,3.29
2021-03-11,57869.0,1.0,,
2021-03-12,57315.0,1.0,,
2021-03-13,61207.0,1.0,,
2021-03-14,59005.0,1.0,,
2021-03-15,55644.0,1.0,116.5,3.93
2021-03-16,56924.0,1.0,116.5,3.93
2021-03-17,58870.0,1.0,116.5,3.93
2021-03-18,57640.0,1.0,116.5,3.93
2021-03-19,58074.0,1.0,116.5,3.93
2021-03-20,58087.0,1.0,,
2021-03-21,57368.0,1.0,,
2021-03-22,54074.0,0.5,116.5,3.93
2021-03-23,54331.0,0.5,116.5,3.93
2021-03-24,52347.2,0.5,116.5,3.93
2021-03-25,51363.0,0.5,116.5,3.93
2021-03-26,54992.9,0.5,116.5,3.93
2021-03-27,55886.0,0.5,,
2021-03-28,55773.0,1.0,,
2021-03-29,57672.3,1.0,116.5,3.93
2021-03-30,58841.0,1.0,116.5,3.93
2021-03-31,58796.0,1.0,116.5,3.93
2021-04-01,58727.4,1.0,116.5,3.93
2021-04-02,58959.0,1.0,,
2021-04-03,57023.0,1.0,,
2021-04-04,58240.0,1.0,,
2021-04-05,59145.0,1.0,116.5,3.93
2021-04-06,57991.0,1.0,116.5,3.93
2021-04-07,55960.0,0.5,116.5,3.93
2021-04-08,58110.0,1.0,116.5,3.93
2021-04-09,58114.0,1.0,116.5,3.93
2021-04-10,59823.8,1.0,,
2021-04-11,60034.8,1.0,,
2021-04-12,59900.0,1.0,116.5,3.93
2021-04-13,63518.0,1.0,116.5,3.93
2021-04-14,62942.7,1.0,116.5,3.93
2021-04-15,63196.0,1.0,116.5,3.93
2021-04-16,61325.0,1.0,116.5,3.93
2021-04-17,59970.0,1.0,,
2021-04-18,56163.0,0.5,,
2021-04-19,55639.0,0.5,116.5,3.93
2021-04-20,56476.0,0.5,116.5,3.93
2021-04-21,53822.0,0.0,116.5,3.93
2021-04-22,51781.3,0.0,116.5,3.93
2021-04-23,51139.0,0.0,116.5,3.93
2021-04-24,50167.0,0.0,,
2021-04-25,49116.3,0.0,,
2021-04-26,54103.0,0.0,116.5,3.93
2021-04-27,55044.0,0.0,116.5,3.93
2021-04-28,54860.0,0.0,116.5,3.93
2021-04-29,53566.0,0.0,116.5,3.93
2021-04-30,57637.0,0.5,116.5,3.93
2021-05-01,57774.0,0.5,,
2021-05-02,56605.0,0.5,,
